request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_41,8850618.03,affordable_later,wait,2026-01-15:38760000,2026-01-15,none,"Wait until 15 January 2026, then pay IDR 38,760,000 in full. Paying sooner would take the balance below the IDR 25,366,600 minimum."
request_42,52100,affordable_now,full_payment,2026-01-05:52100,2026-01-05,none,"Pay INR 52,100 on 5 January 2026. This keeps at least INR 113,100 available over the next 90 days."
request_43,8284459.08,affordable_later,wait,2024-11-14:43339000,2024-11-14,none,"Wait until 14 November 2024, then pay IDR 43,339,000 in full. Paying sooner would take the balance below the IDR 21,398,000 minimum."
request_44,38522.79,affordable_later,wait,2025-04-18:95800,2025-04-18,none,"Wait until 18 April 2025, then pay INR 95,800 in full. Paying sooner would take the balance below the INR 82,900 minimum."
request_45,3343341.39,affordable_later,wait,2026-09-15:21983000,2026-09-15,none,"Wait until 15 September 2026, then pay IDR 21,983,000 in full. Paying sooner would take the balance below the IDR 11,149,800 minimum."
request_46,34985.19,affordable_with_plan,partial_payment,2024-12-03:34985.19|2024-12-15:14464.81,2024-12-15,none,"Pay INR 34,985.19 on 3 December 2024 and the remaining INR 14,464.81 on 15 December 2024. This completes the full request and keeps the INR 84,000 minimum protected."
request_47,38114000,affordable_now,full_payment,2025-05-05:38114000,2025-05-05,none,"Pay IDR 38,114,000 on 5 May 2025. This keeps at least IDR 30,049,000 available over the next 90 days."
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,"Pay INR 45,700 on 25 July 2026. This keeps at least INR 71,300 available over the next 90 days."
request_49,12565715.80,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-04-15,none,"Use 3 installments of IDR 11,902,106.67, starting 18 March 2024. This leaves at least IDR 20,275,700 available."
request_50,43900,affordable_now,full_payment,2025-08-06:43900,2025-08-06,none,"Pay INR 43,900 on 6 August 2025. This keeps at least INR 99,700 available over the next 90 days."
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,"Pay IDR 2,191,000 on 3 January 2026. This keeps at least IDR 7,811,000 available over the next 90 days."
request_52,19191.09,affordable_later,wait,2024-06-15:28870,2024-06-15,none,"Wait until 15 June 2024, then pay INR 28,870 in full. Paying sooner would take the balance below the INR 41,500 minimum."
request_53,462.06,not_affordable,not_recommended,none,2026-01-15,none,"Do not proceed with this USD 1,699.20 request. No available option keeps the USD 2,100 minimum balance protected within the 90-day forecast, even though USD 462.06 is safe to pay today."
request_54,2093.29,not_affordable,not_recommended,none,,none,"Do not proceed with this ZAR 121,528 request. No available option keeps the ZAR 37,000 minimum balance protected within the 90-day forecast, even though ZAR 2,093.29 is safe to pay today."
request_55,129680.88,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-07-15,none,"Use 3 installments of INR 75,781.33, starting 11 June 2026. This leaves at least INR 124,300 available."
request_56,634.57,affordable_with_plan,partial_payment,2025-02-03:634.57|2025-02-15:246.99,2025-02-15,none,"Pay USD 634.57 on 3 February 2025 and the remaining USD 246.99 on 15 February 2025. This completes the full request and keeps the USD 2,100 minimum protected."
request_57,12895.97,affordable_later,wait,2026-06-15:61446,2026-06-15,none,"Wait until 15 June 2026, then pay ZAR 61,446 in full. Paying sooner would take the balance below the ZAR 42,700 minimum."
request_58,16226000,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,"Pay IDR 16,226,000 on 7 December 2024. This keeps at least IDR 14,433,900 available over the next 90 days."
request_59,140600,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"Use 3 installments of INR 48,741.33, starting 7 May 2025. This leaves at least INR 132,600 available."
request_60,132.63,affordable_later,wait,2026-01-15:199.89,2026-01-15,none,"Wait until 15 January 2026, then pay USD 199.89 in full. Paying sooner would take the balance below the USD 400 minimum."
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Use 3 installments of ZAR 10,074.83, starting 17 March 2024. This leaves at least ZAR 36,700 available."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"Pay USD 404.23 on 5 August 2025. This keeps at least USD 1,300 available over the next 90 days."
request_63,37595.82,not_affordable,not_recommended,none,,none,"Do not proceed with this INR 343,900 request. No available option keeps the INR 153,500 minimum balance protected within the 90-day forecast, even though INR 37,595.82 is safe to pay today."
request_64,0,not_affordable,not_recommended,none,,none,"Do not proceed with this INR 63,700 request. No available option keeps the INR 36,100 minimum balance protected within the 90-day forecast, even though INR 0 is safe to pay today."
request_65,5873.58,not_affordable,not_recommended,none,,none,"Do not proceed with this ZAR 54,340 request. No available option keeps the ZAR 15,500 minimum balance protected within the 90-day forecast, even though ZAR 5,873.58 is safe to pay today."
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,"Pay INR 22,200 on 3 April 2026. This keeps at least INR 80,700 available over the next 90 days."
request_67,312.38,affordable_later,wait,2024-11-15:2094,2024-11-15,none,"Wait until 15 November 2024, then pay USD 2,094 in full. Paying sooner would take the balance below the USD 1,200 minimum."
request_68,1328.50,not_affordable,not_recommended,none,2025-03-23,none,"Do not proceed with this USD 2,091.60 request. No available option keeps the USD 1,500 minimum balance protected within the 90-day forecast, even though USD 1,328.50 is safe to pay today."
request_69,529.10,affordable_now,full_payment,2026-01-04:529.10,2026-01-04,none,Pay EUR 529.10 on 4 January 2026. This keeps at least EUR 700 available over the next 90 days.
request_70,50465.66,affordable_later,wait,2025-02-15:243900,2025-02-15,none,"Wait until 15 February 2025, then pay INR 243,900 in full. Paying sooner would take the balance below the INR 115,000 minimum."
request_71,233755.99,not_affordable,not_recommended,none,,none,"Do not proceed with this IDR 21,451,000 request. No available option keeps the IDR 8,884,800 minimum balance protected within the 90-day forecast, even though IDR 233,755.99 is safe to pay today."
request_72,11330,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,"Pay ZAR 11,330 on 5 July 2026. This keeps at least ZAR 12,200 available over the next 90 days."
request_73,71400,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,"Pay INR 71,400 on 20 January 2023. This keeps at least INR 103,200 available over the next 90 days."
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,"Pay ZAR 5,010 on 4 August 2025. This keeps at least ZAR 21,900 available over the next 90 days."
request_75,12950.08,not_affordable,not_recommended,none,,none,"Do not proceed with this ZAR 28,270 request. No available option keeps the ZAR 39,000 minimum balance protected within the 90-day forecast, even though ZAR 12,950.08 is safe to pay today."
request_76,713.97,not_affordable,not_recommended,none,2024-07-29,none,"Do not proceed with this USD 4,455.60 request. No available option keeps the USD 1,800 minimum balance protected within the 90-day forecast, even though USD 713.97 is safe to pay today."
request_77,60005.09,affordable_with_plan,full_payment,2025-11-05:60700,2025-11-15,stop:event_7143,"Stop the cloud storage expense, then pay INR 60,700 on 5 November 2025. This keeps at least INR 82,200 available over the next 90 days."
request_78,45704.81,affordable_later,wait,2025-10-15:50200,2025-10-15,none,"Wait until 15 October 2025, then pay INR 50,200 in full. Paying sooner would take the balance below the INR 55,200 minimum."
request_79,311.43,not_affordable,not_recommended,none,,none,"Do not proceed with this EUR 2,151.60 request. No available option keeps the EUR 1,000 minimum balance protected within the 90-day forecast, even though EUR 311.43 is safe to pay today."
request_80,136755,not_affordable,not_recommended,none,2025-03-04,none,"Do not proceed with this INR 217,500 request. No available option keeps the INR 121,300 minimum balance protected within the 90-day forecast, even though INR 136,755 is safe to pay today."
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,"Pay USD 2,076 on 3 July 2026. This keeps at least USD 1,600 available over the next 90 days."
request_82,399.84,affordable_later,wait,2024-12-15:1405.20,2024-12-15,none,"Wait until 15 December 2024, then pay USD 1,405.20 in full. Paying sooner would take the balance below the USD 1,100 minimum."
request_83,11855.07,not_affordable,not_recommended,none,,none,"Do not proceed with this INR 156,200 request. No available option keeps the INR 37,800 minimum balance protected within the 90-day forecast, even though INR 11,855.07 is safe to pay today."
request_84,26625.18,affordable_later,wait,2026-06-15:95400,2026-06-15,none,"Wait until 15 June 2026, then pay INR 95,400 in full. Paying sooner would take the balance below the INR 91,300 minimum."
request_85,382075.10,not_affordable,not_recommended,none,,none,"Do not proceed with this IDR 19,304,000 request. No available option keeps the IDR 6,396,300 minimum balance protected within the 90-day forecast, even though IDR 382,075.10 is safe to pay today."
request_86,46300,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,"Pay INR 46,300 on 3 August 2025. This keeps at least INR 84,900 available over the next 90 days."
request_87,17422.15,not_affordable,not_recommended,none,,none,"Do not proceed with this INR 487,900 request. No available option keeps the INR 185,900 minimum balance protected within the 90-day forecast, even though INR 17,422.15 is safe to pay today."
request_88,10734.63,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-07-15,none,"Use 3 installments of ZAR 9,045.23, starting 14 June 2024. This leaves at least ZAR 25,800 available."
request_89,9323948.35,not_affordable,not_recommended,none,2026-01-15,none,"Do not proceed with this IDR 13,756,000 request. No available option keeps the IDR 12,534,700 minimum balance protected within the 90-day forecast, even though IDR 9,323,948.35 is safe to pay today."
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,"Pay ZAR 2,560 on 6 July 2026. This keeps at least ZAR 7,600 available over the next 90 days."
request_91,479.62,affordable_later,wait,2024-11-15:1927.20,2024-11-15,none,"Wait until 15 November 2024, then pay EUR 1,927.20 in full. Paying sooner would take the balance below the EUR 2,100 minimum."
request_92,33732.38,affordable_with_plan,full_payment,2025-02-05:34034,2025-02-18,reduce_to:event_8620:558.80,"Reduce entertainment spending to 558.80, then pay ZAR 34,034 on 5 February 2025. This keeps at least ZAR 28,100 available over the next 90 days."
request_93,1729.20,affordable_now,full_payment,2026-04-07:1729.20,2026-04-07,none,"Pay USD 1,729.20 on 7 April 2026. This keeps at least USD 1,900 available over the next 90 days."
request_94,572,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Pay EUR 572 on 4 December 2024. This keeps at least EUR 600 available over the next 90 days.
request_95,4434.67,not_affordable,not_recommended,none,,none,"Do not proceed with this INR 553,000 request. No available option keeps the INR 145,500 minimum balance protected within the 90-day forecast, even though INR 4,434.67 is safe to pay today."
request_96,73108.01,not_affordable,not_recommended,none,2026-02-15,none,"Do not proceed with this INR 90,200 request. No available option keeps the INR 56,500 minimum balance protected within the 90-day forecast, even though INR 73,108.01 is safe to pay today."
request_97,1617.52,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-15,none,"Use 3 installments of ZAR 8,145.28, starting 19 March 2024. This leaves at least ZAR 29,700 available."
request_98,6564.69,affordable_later,wait,2025-10-14:27148,2025-10-14,none,"Wait until 14 October 2025, then pay ZAR 27,148 in full. Paying sooner would take the balance below the ZAR 30,000 minimum."
request_99,17467.41,affordable_with_plan,full_payment,2026-07-04:18062,2026-07-15,reduce_to:event_9232:1065.90,"Reduce dining spending to 1,065.90, then pay ZAR 18,062 on 4 July 2026. This keeps at least ZAR 49,100 available over the next 90 days."
request_100,27031.16,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-07-15,none,"Use 3 installments of ZAR 12,866.19, starting 13 June 2024. This leaves at least ZAR 32,500 available."
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,"Pay INR 143,500 on 3 November 2025. This keeps at least INR 187,400 available over the next 90 days."
request_102,1716,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Use 3 installments of EUR 594.88, starting 5 April 2026. This leaves at least EUR 900 available."
request_103,3398.20,not_affordable,not_recommended,none,,none,"Do not proceed with this INR 368,300 request. No available option keeps the INR 125,500 minimum balance protected within the 90-day forecast, even though INR 3,398.20 is safe to pay today."
request_104,17204,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,"Pay ZAR 17,204 on 4 February 2025. This keeps at least ZAR 24,700 available over the next 90 days."
request_105,50914.78,affordable_with_plan,full_payment,2026-06-08:53500,2026-06-15,reduce_to:event_9720:1632|reduce_to:event_9721:1720,"Reduce shopping spending to 1,632, then Reduce entertainment spending to 1,720, then pay INR 53,500 on 8 June 2026. This keeps at least INR 73,900 available over the next 90 days."
request_106,461.79,affordable_later,wait,2025-02-15:2207.70,2025-02-15,none,"Wait until 15 February 2025, then pay EUR 2,207.70 in full. Paying sooner would take the balance below the EUR 1,200 minimum."
request_107,0,not_affordable,not_recommended,none,,none,"Do not proceed with this EUR 2,534.40 request. No available option keeps the EUR 1,600 minimum balance protected within the 90-day forecast, even though EUR 0 is safe to pay today."
request_108,1654.85,affordable_later,wait,2026-08-22:55308,2026-08-22,none,"Wait until 22 August 2026, then pay ZAR 55,308 in full. Paying sooner would take the balance below the ZAR 24,100 minimum."
request_109,479.72,not_affordable,not_recommended,none,2024-05-15,none,"Do not proceed with this EUR 1,863.40 request. No available option keeps the EUR 1,700 minimum balance protected within the 90-day forecast, even though EUR 479.72 is safe to pay today."
request_110,22352,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use 3 installments of ZAR 7,748.69, starting 6 August 2025. This leaves at least ZAR 11,200 available."
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,"Pay IDR 16,625,000 on 3 April 2026. This keeps at least IDR 23,022,800 available over the next 90 days."
request_112,271.70,affordable_now,full_payment,2024-06-05:271.70,2024-06-05,none,Pay EUR 271.70 on 5 June 2024. This keeps at least EUR 500 available over the next 90 days.
request_113,19765.41,affordable_later,wait,2026-10-15:36500,2026-10-15,none,"Wait until 15 October 2026, then pay INR 36,500 in full. Paying sooner would take the balance below the INR 82,300 minimum."
request_114,54748.13,affordable_later,wait,2026-01-15:65300,2026-01-15,none,"Wait until 15 January 2026, then pay INR 65,300 in full. Paying sooner would take the balance below the INR 113,400 minimum."
request_115,14679.92,affordable_later,wait,2024-11-15:80500,2024-11-15,none,"Wait until 15 November 2024, then pay INR 80,500 in full. Paying sooner would take the balance below the INR 38,800 minimum."
request_116,8519.76,not_affordable,not_recommended,none,,none,"Do not proceed with this INR 241,200 request. No available option keeps the INR 80,300 minimum balance protected within the 90-day forecast, even though INR 8,519.76 is safe to pay today."
request_117,860.93,affordable_with_plan,full_payment,2026-07-05:880,2026-07-15,stop:event_10833,"Stop the streaming expense, then pay EUR 880 on 5 July 2026. This keeps at least EUR 1,000 available over the next 90 days."
request_118,647.69,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2024-12-15,none,"Use 3 installments of EUR 255.87, starting 7 December 2024. This leaves at least EUR 600 available."
request_119,59488.99,not_affordable,not_recommended,none,2025-06-14,none,"Do not proceed with this INR 203,500 request. No available option keeps the INR 151,200 minimum balance protected within the 90-day forecast, even though INR 59,488.99 is safe to pay today."
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,"Pay IDR 7,714,000 on 6 April 2026. This keeps at least IDR 20,050,300 available over the next 90 days."
request_121,633.60,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,Pay USD 633.60 on 3 March 2024. This keeps at least USD 800 available over the next 90 days.
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use 3 installments of IDR 7,126,773.33, starting 5 August 2025. This leaves at least IDR 12,588,500 available."
request_123,4076000,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,"Pay IDR 4,076,000 on 7 January 2026. This keeps at least IDR 18,091,200 available over the next 90 days."
request_124,1392.60,not_affordable,not_recommended,none,2024-07-15,none,"Do not proceed with this EUR 3,104.20 request. No available option keeps the EUR 1,600 minimum balance protected within the 90-day forecast, even though EUR 1,392.60 is safe to pay today."
request_125,5788.40,affordable_later,wait,2025-11-15:6468,2025-11-15,none,"Wait until 15 November 2025, then pay ZAR 6,468 in full. Paying sooner would take the balance below the ZAR 11,300 minimum."
request_126,159600,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,"Pay INR 159,600 on 3 July 2026. This keeps at least INR 129,700 available over the next 90 days."
request_127,7293.99,affordable_later,wait,2024-10-15:23980,2024-10-15,none,"Wait until 15 October 2024, then pay ZAR 23,980 in full. Paying sooner would take the balance below the ZAR 41,000 minimum."
request_128,25168,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,"Pay ZAR 25,168 on 7 February 2025. This keeps at least ZAR 42,600 available over the next 90 days."
request_129,112.65,not_affordable,not_recommended,none,,none,"Do not proceed with this USD 2,668.80 request. No available option keeps the USD 800 minimum balance protected within the 90-day forecast, even though USD 112.65 is safe to pay today."
request_130,364.25,affordable_later,wait,2025-02-15:1978.80,2025-02-15,none,"Wait until 15 February 2025, then pay USD 1,978.80 in full. Paying sooner would take the balance below the USD 1,400 minimum."
request_131,1127.49,not_affordable,not_recommended,none,2025-07-23,none,"Do not proceed with this USD 1,855.20 request. No available option keeps the USD 1,100 minimum balance protected within the 90-day forecast, even though USD 1,127.49 is safe to pay today."
request_132,260.24,affordable_later,wait,2026-01-15:379.86,2026-01-15,none,"Wait until 15 January 2026, then pay USD 379.86 in full. Paying sooner would take the balance below the USD 1,100 minimum."
request_133,15770000,not_affordable,not_recommended,none,2024-03-07,none,"Do not proceed with this IDR 15,770,000 request. No available option keeps the IDR 9,986,200 minimum balance protected within the 90-day forecast, even though IDR 15,770,000 is safe to pay today."
request_134,4439246.67,affordable_later,wait,2025-10-15:21831000,2025-10-15,none,"Wait until 15 October 2025, then pay IDR 21,831,000 in full. Paying sooner would take the balance below the IDR 15,902,500 minimum."
request_135,285.20,affordable_with_plan,full_payment,2026-07-06:304.80,2026-07-15,stop:event_12413,"Stop the streaming expense, then pay USD 304.80 on 6 July 2026. This keeps at least USD 500 available over the next 90 days."
request_136,532.85,affordable_with_plan,full_payment,2024-06-03:560.40,2024-06-15,reduce_to:event_12498:27.20,"Reduce shopping spending to 27.20, then pay USD 560.40 on 3 June 2024. This keeps at least USD 1,100 available over the next 90 days."
request_137,25459.88,affordable_later,wait,2026-01-15:80100,2026-01-15,none,"Wait until 15 January 2026, then pay INR 80,100 in full. Paying sooner would take the balance below the INR 71,800 minimum."
request_138,861.57,affordable_with_plan,partial_payment,2026-04-07:861.57|2026-04-15:395.37,2026-04-15,none,"Pay EUR 861.57 on 7 April 2026 and the remaining EUR 395.37 on 15 April 2026. This completes the full request and keeps the EUR 2,300 minimum protected."
request_139,1329.82,not_affordable,not_recommended,none,2024-11-15,none,"Do not proceed with this USD 2,316 request. No available option keeps the USD 1,500 minimum balance protected within the 90-day forecast, even though USD 1,329.82 is safe to pay today."
request_140,1399.87,not_affordable,not_recommended,none,,none,"Do not proceed with this ZAR 62,832 request. No available option keeps the ZAR 21,600 minimum balance protected within the 90-day forecast, even though ZAR 1,399.87 is safe to pay today."
request_141,20598.07,not_affordable,not_recommended,none,,none,"Do not proceed with this INR 171,600 request. No available option keeps the INR 67,300 minimum balance protected within the 90-day forecast, even though INR 20,598.07 is safe to pay today."
request_142,1263.60,affordable_now,full_payment,2024-12-05:1263.60,2024-12-05,none,"Pay USD 1,263.60 on 5 December 2024. This keeps at least USD 1,700 available over the next 90 days."
request_143,2517.75,affordable_later,wait,2025-07-15:12584,2025-07-15,none,"Wait until 15 July 2025, then pay ZAR 12,584 in full. Paying sooner would take the balance below the ZAR 11,300 minimum."
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,Pay USD 233.34 on 4 July 2026. This keeps at least USD 600 available over the next 90 days.
request_145,28166.97,affordable_with_plan,installments,2024-03-20:75365.33|2024-04-20:75365.33|2024-05-21:75365.33,2024-04-15,none,"Use 3 installments of INR 75,365.33, starting 20 March 2024. This leaves at least INR 155,400 available."
request_146,15761.99,not_affordable,not_recommended,none,,none,"Do not proceed with this INR 449,400 request. No available option keeps the INR 108,600 minimum balance protected within the 90-day forecast, even though INR 15,761.99 is safe to pay today."
request_147,475.66,affordable_with_plan,installments,2026-04-08:391.63|2026-05-08:391.63|2026-06-07:391.63,2026-05-15,none,"Use 3 installments of EUR 391.63, starting 8 April 2026. This leaves at least EUR 900 available."
request_148,7139.27,not_affordable,not_recommended,none,2024-08-15,none,"Do not proceed with this ZAR 22,242 request. No available option keeps the ZAR 20,000 minimum balance protected within the 90-day forecast, even though ZAR 7,139.27 is safe to pay today."
request_149,22470.10,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-12-15,none,"Use 3 installments of ZAR 12,706.03, starting 18 November 2025. This leaves at least ZAR 42,100 available."
request_150,254.18,not_affordable,not_recommended,none,2026-03-15,none,"Do not proceed with this EUR 496.10 request. No available option keeps the EUR 700 minimum balance protected within the 90-day forecast, even though EUR 254.18 is safe to pay today."
request_151,26999000,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,"Pay IDR 26,999,000 on 3 September 2024. This keeps at least IDR 31,633,600 available over the next 90 days."
request_152,11036.31,not_affordable,not_recommended,none,2025-04-15,none,"Do not proceed with this ZAR 13,882 request. No available option keeps the ZAR 11,900 minimum balance protected within the 90-day forecast, even though ZAR 11,036.31 is safe to pay today."
request_153,9.80,not_affordable,not_recommended,none,,none,"Do not proceed with this USD 2,830.80 request. No available option keeps the USD 1,400 minimum balance protected within the 90-day forecast, even though USD 9.80 is safe to pay today."
request_154,1625.80,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,"Use 3 installments of EUR 563.61, starting 4 December 2024. This leaves at least EUR 1,300 available."
request_155,112500,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,"Pay INR 112,500 on 6 May 2025. This keeps at least INR 56,300 available over the next 90 days."
request_156,9527.93,affordable_later,wait,2026-06-15:43076,2026-06-15,none,"Wait until 15 June 2026, then pay ZAR 43,076 in full. Paying sooner would take the balance below the ZAR 26,900 minimum."
request_157,4753702.74,affordable_later,wait,2024-04-15:23503000,2024-04-15,none,"Wait until 15 April 2024, then pay IDR 23,503,000 in full. Paying sooner would take the balance below the IDR 15,714,100 minimum."
request_158,242600,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"Use 3 installments of INR 84,101.33, starting 7 August 2025. This leaves at least INR 131,400 available."
request_159,13398,affordable_now,full_payment,2026-01-04:13398,2026-01-04,none,"Pay ZAR 13,398 on 4 January 2026. This keeps at least ZAR 8,700 available over the next 90 days."
request_160,571.54,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-07-15,none,"Use 3 installments of EUR 432.05, starting 13 June 2024. This leaves at least EUR 1,200 available."
request_161,6933462.55,affordable_later,wait,2026-01-14:21204000,2026-01-14,none,"Wait until 14 January 2026, then pay IDR 21,204,000 in full. Paying sooner would take the balance below the IDR 23,010,400 minimum."
request_162,1274898.36,not_affordable,not_recommended,none,,none,"Do not proceed with this IDR 83,923,000 request. No available option keeps the IDR 24,161,100 minimum balance protected within the 90-day forecast, even though IDR 1,274,898.36 is safe to pay today."
request_163,8590516.46,affordable_with_plan,installments,2024-09-10:6692053.33|2024-10-11:6692053.33|2024-11-11:6692053.33,2024-09-15,none,"Use 3 installments of IDR 6,692,053.33, starting 10 September 2024. This leaves at least IDR 26,728,700 available."
request_164,27018000,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,"Use 3 installments of IDR 9,366,240, starting 11 February 2025. This leaves at least IDR 29,550,500 available."
request_165,67226.03,affordable_with_plan,full_payment,2026-04-06:80600,,stop:event_15135|reduce_to:event_15173:1875,"Stop the streaming expense, then Reduce dining spending to 1,875, then pay INR 80,600 on 6 April 2026. This keeps at least INR 95,000 available over the next 90 days."
request_166,2907.60,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Use 3 installments of USD 1,007.97, starting 3 December 2024. This leaves at least USD 1,700 available."
request_167,43802,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,"Pay ZAR 43,802 on 5 May 2025. This keeps at least ZAR 31,200 available over the next 90 days."
request_168,30621.80,affordable_with_plan,partial_payment,2026-01-07:30621.80|2026-02-15:18758.20,2026-02-15,none,"Pay INR 30,621.80 on 7 January 2026 and the remaining INR 18,758.20 on 15 February 2026. This completes the full request and keeps the INR 114,400 minimum protected."
